IMEI,batteryVoltage,currentMode,dataType,heading,humidity,latitude,longitude,messageType,satelliteNumber,speed,temperature,timeStamp,weather
868446031859974,3.649,0,GPS data,0,,41.00506,-73.84812,Door Close,5,0.00km/h,,2020-06-23 17:10:54,
868446031859974,3.669,0,GPS data,0,,41.00501,-73.84836,Door Close,5,0.00km/h,,2020-06-21 04:01:12,
868446031859974,3.897,0,GPS data,0,83%,41.00515,-73.84845,Door Close,5,0.00km/h,21.93°C,2020-07-15 03:15:35,Clouds
868446031859974,3.645,0,GPS data,191,,41.00461,-73.84844,Door Close,4,0.00km/h,,2020-06-24 19:53:31,
868446031859974,3.884,0,GPS data,0,82%,41.00509,-73.84846,Door Close,4,0.00km/h,21.02°C,2020-07-16 05:26:44,Clouds
868446031859974,3.878,0,GPS data,0,73%,41.00485,-73.84799,Door Close,5,0.00km/h,22.8°C,2020-07-16 14:11:24,Clouds
868446031859974,3.683,0,GPS data,0,,41.00521,-73.84817,Door Close,5,0.00km/h,,2020-06-18 19:40:50,
868446031859974,3.649,0,GPS data,0,,41.00498,-73.84823,Door Close,4,0.00km/h,,2020-06-23 17:12:17,
868446031859974,3.952,0,GPS data,306,,41.00512,-73.84826,Door Close,4,0.00km/h,,2020-07-11 18:37:26,
868446031859974,3.717,0,GPS data,0,,41.00539,-73.84872,Door Close,5,0.00km/h,,2020-06-16 11:37:53,
868446031859974,3.942,0,GPS data,0,,41.00530,-73.84863,Door Close,6,0.00km/h,,2020-07-12 04:13:10,
868446031859974,3.696,0,GPS data,353,,41.00518,-73.84845,Door Close,5,0.00km/h,,2020-06-18 01:37:00,
868446031859974,3.661,0,GPS data,0,,41.00502,-73.84832,Door Close,4,0.00km/h,,2020-06-22 12:51:14,
868446031859974,3.976,0,GPS data,0,,41.00508,-73.84813,Door Close,3,0.00km/h,,2020-07-10 00:52:50,
868446031859974,3.694,0,GPS data,0,,41.00505,-73.84840,Door Close,5,0.00km/h,,2020-06-18 01:51:02,
868446031859974,3.68,0,GPS data,0,,41.00508,-73.84825,Door Close,4,0.00km/h,,2020-06-20 01:09:13,
868446031859974,3.939,0,GPS data,79,,41.00493,-73.84814,Door Close,3,0.00km/h,,2020-07-12 22:56:50,
868446031859974,3.685,0,GPS data,0,,41.00423,-73.84907,Door Close,3,0.00km/h,,2020-06-18 14:07:02,
868446031859974,3.691,0,GPS data,0,,41.00500,-73.84818,Door Close,3,0.00km/h,,2020-06-18 14:01:50,
868446031859974,3.694,0,GPS data,0,,41.00511,-73.84842,Door Close,5,0.00km/h,,2020-06-18 01:46:04,
868446031859974,3.976,0,GPS data,0,,41.00521,-73.84806,Door Close,4,0.00km/h,,2020-07-10 00:55:41,
868446031859974,3.954,0,GPS data,0,,41.00488,-73.84849,Door Close,5,0.00km/h,,2020-07-11 14:34:59,
868446031859974,3.878,0,GPS data,196,82%,41.00519,-73.84815,Door Close,4,0.55km/h,21.02°C,2020-07-16 05:31:22,Clouds
868446031859974,4.045,0,GPS data,0,,41.00499,-73.84809,Door Close,4,0.00km/h,,2020-07-06 01:47:00,
868446031859974,4.137,0,GPS data,304,,41.00517,-73.84825,Door Close,6,0.00km/h,,2020-06-30 14:44:00,
868446031859974,3.664,0,GPS data,0,,41.00467,-73.84772,Door Close,5,0.00km/h,,2020-06-22 03:41:30,
868446031859974,4.042,0,GPS data,0,,41.00513,-73.84805,Door Close,5,0.00km/h,,2020-07-06 02:45:31,
868446031859974,3.723,0,GPS data,262,,41.00523,-73.84811,Door Close,3,0.00km/h,,2020-06-15 13:40:22,
868446031859974,3.683,0,GPS data,0,,41.00576,-73.84788,Door Close,5,0.00km/h,,2020-06-18 19:36:53,
868446031859974,3.693,0,GPS data,0,,41.00390,-73.84901,Door Close,5,0.00km/h,,2020-06-17 17:52:31,
868446031859974,3.691,0,GPS data,49,,41.00511,-73.84808,Door Close,3,0.00km/h,,2020-06-18 14:03:55,
868446031859974,3.889,0,GPS data,0,69%,41.00532,-73.84833,Door Close,4,0.00km/h,25.85°C,2020-07-15 18:30:31,Clouds
868446031859974,4.033,0,GPS data,0,,41.00487,-73.84829,Door Close,4,0.00km/h,,2020-07-06 19:44:53,
868446031859974,3.664,0,GPS data,0,,41.00484,-73.84799,Door Close,5,0.00km/h,,2020-06-22 03:40:38,
868446031859974,3.641,0,GPS data,0,,41.00521,-73.84812,Door Close,5,0.00km/h,,2020-06-24 02:50:05,
868446031859974,4.074,0,GPS data,0,,41.00504,-73.84769,Door Close,4,0.00km/h,,2020-07-03 03:14:39,
868446031859974,3.975,0,GPS data,0,,41.00496,-73.84837,Door Close,5,0.00km/h,,2020-07-10 02:07:24,
868446031859974,3.686,0,GPS data,0,,41.00467,-73.84818,Door Close,5,0.00km/h,,2020-06-18 17:54:18,
